Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2016,"57,470",57470,57470,57470,57470,"57,470",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2017,"58,490",58250,58730,58150,58900,"57,980",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2018,"59,950",59470,60430,59510,60460,"58,310",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2019,"61,310",60600,62030,60860,62060,"58,630",,,,,,105%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2020,"62,600",61640,63560,61980,63370,"58,960",,,,,,106%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2021,"63,860",62640,65050,62780,64690,"59,280",,,,,,108%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2022,"65,060",63630,66510,63690,66040,"59,540",,,,,,109%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2023,"66,070",64450,67760,64670,67420,"59,820",,,,,,110%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2024,"67,150",65280,69050,65520,68770,"60,090",,,,,,112%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2025,"68,080",65950,70210,66420,69830,"60,380",,,,,,113%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2026,"69,100",66700,71420,67250,70870,"60,650",,,,,,114%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2027,"69,980",67330,72540,67950,71900,"60,900",,,,,,115%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2028,"70,830",68020,73650,68590,72860,"61,130",,,,,,116%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2029,"71,650",68570,74720,69370,73920,"61,340",,,,,,117%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Chiropractors,Licensed health professionals who diagnose and treat neuromusculoskeletal problems using spinal manipulations and other non-surgical techniques to improve functionality and alleviate pain.,Total,2030,"72,330",68970,75560,70190,74850,"61,540",,,,,,118%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2016,,,,,,"60,630",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2017,,,,,,"61,240",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2018,,,,,,"61,700",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2019,,,,,,"62,150",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2020,,,,,,"62,620",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2021,,,,,,"63,090",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2022,,,,,,"63,570",,,,,,N/A
