HPSA.Discipline.Class,HPSA.Score,HPSA.FTE,HPSA.Designation.Population,Common.Region.Name,HPSA.Shortage,HPSA.Designation.Date,Perc.Pop.Below.Poverty,Perc.Pop.Served,HPSA_score_high,prediction,prediction.val
Primary Care,16,9.153,96399,Region 9,22.977,12/1/2019,0.166,0.284847353,0,0.03974891,0
Primary Care,19,2.1856,28164,Region 9,7.2044,6/1/2022,0.302,0.232814941,1,0.495282508,0
Primary Care,19,2.1856,28164,Region 9,7.2044,6/1/2022,0.302,0.232814941,1,0.495282508,0
Primary Care,10,0,748,Region 9,0.25,11/1/2020,0.287,0,0,0.629450558,1
Primary Care,14,5,20428,Region 9,1.81,3/1/2022,0.308,0.734286274,0,0.131035375,0
Primary Care,18,1,79290,Region 9,25.43,7/1/2022,0.201,0.037835793,1,0.302629479,0
Primary Care,14,8.7746,48236,Region 5,7.3054,1/1/2022,0.128,0.545733477,0,0.010474293,0
Primary Care,14,2.2152,15934,Region 5,3.0948,7/1/2017,0.151,0.417095519,0,0.043261307,0
Primary Care,10,8.15,37196,Region 5,2.48,2/1/2022,0.091,0.766883536,0,0.002584199,0
Primary Care,11,30.3914,136986,Region 5,15.2686,3/1/2022,0.176,0.665571664,0,0.002137758,0
Primary Care,15,0.68,100131,Region 10,32.7,10/1/2021,0.123,0.020373311,0,0.157072179,0
Primary Care,14,4.7046,24791,Region 10,3.5554,8/1/2017,0.144,0.569319511,0,0.017883468,0
Primary Care,15,0.3375,7713,Region 10,2.2325,8/1/2021,0.126,0.131207053,0,0.074056327,0
Primary Care,13,5.6115,31118,Region 10,4.7585,8/1/2021,0.142,0.54097307,0,0.01752488,0
Primary Care,10,3.9,20675,Region 10,2.01,10/1/2017,0.071,0.660217654,0,0.003654991,0
Primary Care,10,3.9,20675,Region 10,2.01,10/1/2017,0.071,0.660217654,0,0.003654991,0
Primary Care,17,3.26,38693,Region 10,7.8,9/1/2017,0.184,0.29488538,0,0.106351861,0
Primary Care,13,0.252,1221,Region 10,0.158,10/1/2017,0.113,0.619164619,0,0.012798872,0
Primary Care,18,0.354,8585,Region 10,2.506,10/1/2021,0.202,0.123704135,1,0.256930408,0
Primary Care,9,7.236,27190,Region 10,1.824,10/1/2017,0.13,0.798381758,0,0.004991082,0
Primary Care,13,1.05,5468,Region 10,0.51,8/1/2021,0.115,0.672092173,0,0.010460503,0
Primary Care,19,0.9,13743,Region 6,3.03,12/1/2017,0.244,0.229207597,1,0.368423942,0
Primary Care,14,0.58,5216,Region 6,1.16,12/1/2018,0.185,0.333588957,0,0.119885265,0
Primary Care,15,2.2895,13096,Region 6,2.0805,9/1/2021,0.16,0.524434942,0,0.037977214,0
Primary Care,18,1.2,6460,Region 6,0.65,1/1/2020,0.17,0.650154799,1,0.033896081,0
Primary Care,14,0.836,6756,Region 6,1.414,7/1/2021,0.157,0.371225577,0,0.065138026,0
Primary Care,13,0.78,5916,Region 6,1.19,11/1/2020,0.106,0.395537525,0,0.02404952,0
Primary Care,7,2.95,10613,Region 6,0.08,11/1/2021,0.093,0.972863469,0,0.002425459,0
Primary Care,15,0.4378,12203,Region 6,3.6322,3/1/2020,0.128,0.107596493,0,0.091632387,0
Primary Care,13,0,10285,Region 6,2.94,8/1/2021,0.122,0,0,0.116172119,0
Primary Care,15,5.075,34449,Region 6,4.765,7/1/2018,0.184,0.515602775,0,0.048560431,0
Primary Care,13,1.607,14739,Region 6,3.303,12/1/2018,0.146,0.32709139,0,0.058572116,0
Primary Care,16,0.2,18517,Region 6,5.97,12/1/2020,0.136,0.032402657,0,0.137687294,0
Primary Care,15,53.2916,242454,Region 6,27.5284,7/1/2019,0.312,0.659403433,0,0.003425741,0
Primary Care,13,0.1,5386,Region 8,1.44,9/1/2021,0.096,0.06498329,0,0.174172239,0
Primary Care,9,0.8,3191,Region 8,0.11,8/1/2021,0.082,0.877467878,0,0.01109321,0
Primary Care,13,0.253,1631,Region 8,0.287,5/1/2020,0.143,0.465358676,0,0.121889199,0
Primary Care,13,0.375,2844,Region 8,0.435,10/1/2017,0.091,0.461322082,0,0.049569734,0
Primary Care,13,0.575,4788,Region 8,0.795,5/1/2020,0.084,0.42021721,0,0.048839907,0
Primary Care,17,0.3,2196,Region 8,0.33,8/1/2021,0.138,0.478142077,0,0.107868805,0
Primary Care,14,0.7144,5832,Region 8,1.2256,9/1/2019,0.161,0.367455418,0,0.204989977,0
Primary Care,17,0.8,5781,Region 8,0.85,9/1/2017,0.312,0.484345269,0,0.75328144,1
Primary Care,9,0,1292,Region 8,0.37,8/1/2021,0.071,0,0,0.137566451,0
Primary Care,14,6.7046,33568,Region 8,4.4854,8/1/2021,0.137,0.599201621,0,0.042669886,0
Primary Care,14,9.125,42448,Region 9,5.025,6/1/2022,0.298,0.644906709,0,0.102359105,0
Primary Care,14,1.7326,11352,Region 9,2.0474,8/1/2018,0.142,0.457892882,0,0.021734074,0
Primary Care,16,9.45,52374,Region 9,8.01,10/1/2017,0.284,0.541299118,0,0.110559286,0
Primary Care,16,9.45,52374,Region 9,8.01,10/1/2017,0.284,0.541299118,0,0.110559286,0
Primary Care,11,23.41,87253,Region 9,5.67,7/1/2017,0.204,0.804900691,0,0.002603656,0
Primary Care,13,6.9532,39242,Region 5,6.1268,3/1/2022,0.176,0.531573314,0,0.03146957,0
Primary Care,15,6.5225,119859,Region 10,33.4275,11/1/2021,0.143,0.163258495,0,0.086596938,0
Primary Care,13,9.8013,52243,Region 10,7.6087,8/1/2017,0.116,0.562831384,0,0.006868521,0
Primary Care,13,9.8013,52243,Region 10,7.6087,8/1/2017,0.116,0.562831384,0,0.006868521,0
Primary Care,13,0.6,3148,Region 10,0.3,7/1/2017,0.098,0.667090216,0,0.008058221,0
Primary Care,15,1,29358,Region 10,7.39,10/1/2017,0.1,0.11921793,0,0.050434895,0
Primary Care,13,12.775,68746,Region 10,6.865,10/1/2017,0.095,0.650394205,0,0.002620996,0
Primary Care,13,12.775,68746,Region 10,6.865,10/1/2017,0.095,0.650394205,0,0.002620996,0
Primary Care,15,0,11623,Region 10,3.32,8/1/2021,0.128,0,0,0.118053612,0
Primary Care,16,0.2,4706,Region 6,1.14,4/1/2018,0.156,0.148746281,0,0.128390405,0
Primary Care,14,0.5125,30054,Region 6,9.5075,3/1/2020,0.196,0.051174552,0,0.326421199,0
Primary Care,9,0,1047,Region 6,0.35,7/1/2019,0.086,0,0,0.05925251,0
Primary Care,18,3.567,48043,Region 6,12.443,3/1/2022,0.223,0.222737964,1,0.264675598,0
Primary Care,17,0.15,6626,Region 6,2.06,5/1/2022,0.157,0.067914277,0,0.165181017,0
Primary Care,10,42.85,166097,Region 6,4.61,1/1/2020,0.095,0.902936236,0,5.52E-05,0
