"Common.Region.Name","Common.State.Abbreviation","Common.State.Name"
"Region 9","CA","California"
"Region 5","WI","Wisconsin"
"Region 10","WA","Washington"
"Region 6","TX","Texas"
"Region 8","SD","South Dakota"
"Region 8","ND","North Dakota"
"Region 9","AZ","Arizona"
"Region 8","UT","Utah"
"Region 4","AL","Alabama"
"Region 10","AK","Alaska"
"Region 4","TN","Tennessee"
"Region 10","OR","Oregon"
"Region 6","OK","Oklahoma"
"Region 4","NC","North Carolina"
"Region 2","NY","New York"
"Region 9","NV","Nevada"
"Region 5","MN","Minnesota"
"Region 5","MI","Michigan"
"Region 7","MO","Missouri"
"Region 4","MS","Mississippi"
"Region 2","NJ","New Jersey"
"Region 1","NH","New Hampshire"
"Region 5","OH","Ohio"
"Region 7","NE","Nebraska"
"Region 8","MT","Montana"
"Region 3","MD","Maryland"
"Region 7","KS","Kansas"
"Region 4","GA","Georgia"
"Region 4","FL","Florida"
"Region 5","IL","Illinois"
"Region 6","LA","Louisiana"
"Region 7","IA","Iowa"
"Region 3","DE","Delaware"
"Region 1","CT","Connecticut"
"Region 1","MA","Massachusetts"
"Region 4","KY","Kentucky"
"Region 5","IN","Indiana"
"Region 3","DC","District of Columbia"
"Region 8","WY","Wyoming"
"Region 3","WV","West Virginia"
"Region 3","PA","Pennsylvania"
"Region 9","MP","Northern Mariana Islands"
"Region 9","GU","Guam"
"Region 9","FM","Federated States of Micronesia"
"Region 3","VA","Virginia"
"Region 1","RI","Rhode Island"
"Region 6","AR","Arkansas"
"Region 4","SC","South Carolina"
"Region 1","VT","Vermont"
"Region 6","NM","New Mexico"
"Region 9","HI","Hawaii"
"Region 8","CO","Colorado"
"Region 2","PR","Puerto Rico"
"Region 10","ID","Idaho"
"Region 2","VI","U.S. Virgin Islands"
"Region 1","ME","Maine"
"Region 9","MH","Marshall Islands"
"Region 9","PW","Republic of Palau"
